datasource,language,model,n,m,chisq,d,p,cfi,gfi,agfi,srmr,mcsc,rmsea,rmsea_l,rmsea_u,gdiff,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8
SATP,jpn,circumplex,915,3,1233.6433689694115,24,1.6449329548812819e-245,0.702,0.751,0.627,0.197,-0.918,0.235,0.224,0.246,,,,,,,,,
SATP,kor,unconstrained,809,3,46.23762558212793,10,1.2988308582741135e-06,0.992,0.989,0.96,0.012,-0.992,0.067,0.048,0.087,17.92,0.0,58.0,98.0,133.0,155.0,260.0,285.0,299.0
SATP,kor,equal_ang,809,3,657.8603722024476,17,7.73579396279006e-129,0.863,0.835,0.651,0.229,-1.0,0.216,0.202,0.23,,,,,,,,,
SATP,kor,equal_com,809,3,304.17259567857354,17,1.5489986789528848e-54,0.939,0.918,0.826,0.1,-0.996,0.145,0.131,0.159,16.47,0.0,52.0,86.0,123.0,151.0,246.0,272.0,289.0
SATP,kor,circumplex,809,3,822.2711511394559,24,4.078649096904285e-158,0.829,0.802,0.703,0.238,-1.0,0.203,0.191,0.215,,,,,,,,,
SATP,nld,unconstrained,864,3,31.43641270001241,10,0.0004968413766500962,0.997,0.994,0.978,0.014,-0.945,0.05,0.031,0.07,22.63,0.0,41.0,114.0,129.0,174.0,257.0,311.0,342.0
SATP,nld,equal_ang,864,3,1069.7315320284172,17,1.0752573002039573e-216,0.833,0.766,0.504,0.247,-0.901,0.268,0.254,0.282,,,,,,,,,
SATP,nld,equal_com,864,3,225.410103082313,17,2.112602201650842e-38,0.967,0.943,0.879,0.056,-0.917,0.119,0.106,0.133,21.36,0.0,43.0,111.0,125.0,174.0,257.0,307.0,341.0
SATP,nld,circumplex,864,3,1505.2675581912385,24,1.5238893554494195e-303,0.766,0.7,0.55,0.254,-0.88,0.267,0.256,0.279,,,,,,,,,
SATP,pol,unconstrained,918,3,47.82576343625154,10,6.678252796626645e-07,0.994,0.99,0.964,0.012,-0.996,0.064,0.047,0.083,18.4,0.0,66.0,90.0,132.0,175.0,265.0,273.0,340.0
SATP,pol,equal_ang,918,3,986.3857444003645,17,7.347342074907832e-199,0.838,0.791,0.557,0.187,-0.989,0.249,0.236,0.263,,,,,,,,,
SATP,pol,equal_com,918,3,357.30231558684534,17,1.4933232120788476e-65,0.943,0.915,0.82,0.053,-0.994,0.148,0.135,0.161,19.09,0.0,69.0,91.0,128.0,176.0,266.0,274.0,339.0
